ligand_id	barrier_energy	original_line
PV-002509147070	29.318	PV-002509147070 29.318
PV-002509438471	30.302	PV-002509438471 30.302
PV-002510454156	30.902	PV-002510454156 30.902
PV-002510516650	29.647	PV-002510516650 29.647
PV-002511704334	27.621	PV-002511704334 27.621
PV-002515492211	29.56	PV-002515492211 29.560
PV-002516396653	30.138	PV-002516396653 30.138
PV-002516403345	29.279	PV-002516403345 29.279
PV-002516564005	27.063	PV-002516564005 27.063
PV-002517030440	27.225	PV-002517030440 27.225
PV-002517091809	28.971	PV-002517091809 28.971
PV-002519166148	30.073	PV-002519166148 30.073
PV-002519199657	28.688	PV-002519199657 28.688
PV-002520560010	28.86	PV-002520560010 28.860
PV-002521846601	30.441	PV-002521846601 30.441
PV-002523207074	30.325	PV-002523207074 30.325
PV-002524481464	27.115	PV-002524481464 27.115
PV-002524552099	26.363	PV-002524552099 26.363
PV-002524577134	30.951	PV-002524577134 30.951
PV-002526543766	30.807	PV-002526543766 30.807
PV-002526597084	28.465	PV-002526597084 28.465
PV-002527208113	31.859	PV-002527208113 31.859
PV-002528402659	30.553	PV-002528402659 30.553
PV-002529100583	26.38	PV-002529100583 26.380
PV-002531205519	26.992	PV-002531205519 26.992
PV-002531641301	28.596	PV-002531641301 28.596
PV-002531675060	26.614	PV-002531675060 26.614
PV-002532013445	30.134	PV-002532013445 30.134
PV-002532338171	28.339	PV-002532338171 28.339
PV-002533594417	29.358	PV-002533594417 29.358
PV-002535152914	26.491	PV-002535152914 26.491
PV-002536170045	30.007	PV-002536170045 30.007
PV-002536550276	30.756	PV-002536550276 30.756
PV-002537393145	25.679	PV-002537393145 25.679
PV-002537439360	25.923	PV-002537439360 25.923
PV-002537591234	32.389	PV-002537591234 32.389
PV-002537917941	26.972	PV-002537917941 26.972
PV-002538123615	31.948	PV-002538123615 31.948
PV-002538297135	31.086	PV-002538297135 31.086
PV-002538342441	25.704	PV-002538342441 25.704
PV-002538626817	27.347	PV-002538626817 27.347
PV-002539014918	30.13	PV-002539014918 30.130
PV-002539191009	26.541	PV-002539191009 26.541
PV-002540112593	26.404	PV-002540112593 26.404
PV-002540506993	29.396	PV-002540506993 29.396
PV-002540535341	28.578	PV-002540535341 28.578
PV-002541881017	27.128	PV-002541881017 27.128
PV-002541946975	27.713	PV-002541946975 27.713
PV-002542179958	31.035	PV-002542179958 31.035
PV-002543760579	31.43	PV-002543760579 31.430
PV-002543789248	30.706	PV-002543789248 30.706
PV-002544241800	32.021	PV-002544241800 32.021
PV-002544480697	27.91	PV-002544480697 27.910
PV-002544629472	25.167	PV-002544629472 25.167
PV-002545054477	30.752	PV-002545054477 30.752
PV-002546040560	31.587	PV-002546040560 31.587
PV-002546202334	30.792	PV-002546202334 30.792
PV-002547078736	28.05	PV-002547078736 28.050
PV-002547235202	29.061	PV-002547235202 29.061
PV-002548465816	30.952	PV-002548465816 30.952
PV-002550019799	29.923	PV-002550019799 29.923
PV-002550064414	29.669	PV-002550064414 29.669
PV-002550209138	28.278	PV-002550209138 28.278
PV-002550347129	30.536	PV-002550347129 30.536
PV-002551450388	31.953	PV-002551450388 31.953
PV-002553072087	26.191	PV-002553072087 26.191
PV-002554143283	30.7	PV-002554143283 30.700
PV-002555538080	29.286	PV-002555538080 29.286
PV-002555666437	27.468	PV-002555666437 27.468
PV-002555797511	29.462	PV-002555797511 29.462
PV-002555907296	27.4	PV-002555907296 27.400
PV-002556466695	31.313	PV-002556466695 31.313
PV-002558082292	31.056	PV-002558082292 31.056
PV-002558106584	27.5	PV-002558106584 27.500
PV-002558119038	29.561	PV-002558119038 29.561
PV-002558199484	27.979	PV-002558199484 27.979
PV-002560721383	26.407	PV-002560721383 26.407
PV-002561563159	28.798	PV-002561563159 28.798
PV-002561876697	30.526	PV-002561876697 30.526
PV-002563646704	30.86	PV-002563646704 30.860
PV-002563766328	29.66	PV-002563766328 29.660
PV-002563878645	27.333	PV-002563878645 27.333
PV-002564670020	31.166	PV-002564670020 31.166
PV-002566201608	29.12	PV-002566201608 29.120
PV-002566425463	28.007	PV-002566425463 28.007
PV-002570490491	31.015	PV-002570490491 31.015
PV-002570537549	31.238	PV-002570537549 31.238
PV-002570690184	30.426	PV-002570690184 30.426
PV-002570926306	30.312	PV-002570926306 30.312
PV-002571443594	29.65	PV-002571443594 29.650
PV-002571697220	29.473	PV-002571697220 29.473
PV-002572046158	29.976	PV-002572046158 29.976
PV-002572437864	26.692	PV-002572437864 26.692
PV-002572900596	28.82	PV-002572900596 28.820
PV-002573917269	30.378	PV-002573917269 30.378
PV-002574149693	28.655	PV-002574149693 28.655
PV-002574820216	27.775	PV-002574820216 27.775
PV-002575557124	29.706	PV-002575557124 29.706
PV-002575611302	30.66	PV-002575611302 30.660
PV-002575783040	27.465	PV-002575783040 27.465
PV-002576034303	29.793	PV-002576034303 29.793
PV-002576415487	25.895	PV-002576415487 25.895
PV-002577000915	29.437	PV-002577000915 29.437
PV-002577130175	25.786	PV-002577130175 25.786
PV-002577131077	28.257	PV-002577131077 28.257
PV-002579497364	30.56	PV-002579497364 30.560
PV-002580018706	30.107	PV-002580018706 30.107
PV-002581019339	31.071	PV-002581019339 31.071
PV-002581520578	25.728	PV-002581520578 25.728
PV-002581811824	30.569	PV-002581811824 30.569
PV-002582074854	29.844	PV-002582074854 29.844
PV-002582097618	29.492	PV-002582097618 29.492
PV-002582771404	30.444	PV-002582771404 30.444
PV-002583777939	26.094	PV-002583777939 26.094
PV-002584140361	29.958	PV-002584140361 29.958
PV-002584319632	26.338	PV-002584319632 26.338
PV-002584334094	29.453	PV-002584334094 29.453
PV-002585137727	25.532	PV-002585137727 25.532
PV-002585455887	26.029	PV-002585455887 26.029
PV-002585596930	26.675	PV-002585596930 26.675
PV-002586008538	32.079	PV-002586008538 32.079
PV-002587535124	30.513	PV-002587535124 30.513
PV-002588346227	26.715	PV-002588346227 26.715
PV-002588606918	27.95	PV-002588606918 27.950
PV-002588652372	30.818	PV-002588652372 30.818
PV-002589135088	29.573	PV-002589135088 29.573
PV-002590767806	25.638	PV-002590767806 25.638
PV-002592805222	29.058	PV-002592805222 29.058
PV-002594355601	27.314	PV-002594355601 27.314
PV-002594511601	27.127	PV-002594511601 27.127
PV-002594609628	29.843	PV-002594609628 29.843
PV-002595942989	29.075	PV-002595942989 29.075
PV-002596284644	28.511	PV-002596284644 28.511
PV-002596875222	26.675	PV-002596875222 26.675
PV-002596993040	29.323	PV-002596993040 29.323
PV-002597392953	29.124	PV-002597392953 29.124
PV-002598055221	29.504	PV-002598055221 29.504
PV-002598339301	29.243	PV-002598339301 29.243
PV-002598352243	26.486	PV-002598352243 26.486
PV-002598434377	30.571	PV-002598434377 30.571
PV-002599132639	30.251	PV-002599132639 30.251
PV-002599139782	29.705	PV-002599139782 29.705
PV-002599173776	29.927	PV-002599173776 29.927
PV-002599319139	30.649	PV-002599319139 30.649
PV-002599448614	29.347	PV-002599448614 29.347
PV-002599877635	28.477	PV-002599877635 28.477
PV-002599905993	25.557	PV-002599905993 25.557
PV-002600670052	26.715	PV-002600670052 26.715
PV-002600872890	25.475	PV-002600872890 25.475
PV-002601232312	28.554	PV-002601232312 28.554
PV-002601341655	29.728	PV-002601341655 29.728
PV-002601596715	30.036	PV-002601596715 30.036
PV-002601605798	29.36	PV-002601605798 29.360
PV-002601898446	30.879	PV-002601898446 30.879
PV-002601907877	32.202	PV-002601907877 32.202
PV-002601928247	29.624	PV-002601928247 29.624
PV-002602100372	30.037	PV-002602100372 30.037
PV-002602195228	30.915	PV-002602195228 30.915
PV-002606958668	30.449	PV-002606958668 30.449
PV-002606958669	27.95	PV-002606958669 27.950
PV-002626203179	29.863	PV-002626203179 29.863
PV-002651106005	29.406	PV-002651106005 29.406
PV-002662795914	28.181	PV-002662795914 28.181
PV-002662795915	26.958	PV-002662795915 26.958
PV-002664141793	28.599	PV-002664141793 28.599
PV-002680707076	27.459	PV-002680707076 27.459
PV-002685938978	30.302	PV-002685938978 30.302
PV-002685938979	29.465	PV-002685938979 29.465
PV-002688610271	27.827	PV-002688610271 27.827
PV-002707238962	29.271	PV-002707238962 29.271
PV-002709992896	28.983	PV-002709992896 28.983
PV-002710109189	31.534	PV-002710109189 31.534
PV-002710669278	26.42	PV-002710669278 26.420
PV-002710857608	25.527	PV-002710857608 25.527
PV-002710870774	28.609	PV-002710870774 28.609
PV-002711152293	25.673	PV-002711152293 25.673
PV-002711244117	29.555	PV-002711244117 29.555
PV-002712054906	29.811	PV-002712054906 29.811
PV-002712462537	31.374	PV-002712462537 31.374
PV-002713108493	29.189	PV-002713108493 29.189
PV-002713140307	27.733	PV-002713140307 27.733
PV-002713724141	31.81	PV-002713724141 31.810
PV-002714201981	30.128	PV-002714201981 30.128
PV-002714201982	28.866	PV-002714201982 28.866
PV-002714991599	27.587	PV-002714991599 27.587
PV-002715262455	29.328	PV-002715262455 29.328
PV-002716006855	29.792	PV-002716006855 29.792
PV-002716006856	30.897	PV-002716006856 30.897
PV-002716465686	29.373	PV-002716465686 29.373
PV-002717265077	30.742	PV-002717265077 30.742
PV-002717733019	25.874	PV-002717733019 25.874
PV-002717734523	27.36	PV-002717734523 27.360
PV-002718068130	30.929	PV-002718068130 30.929
PV-002718090202	29.183	PV-002718090202 29.183
PV-002718583159	25.309	PV-002718583159 25.309
PV-002719443127	30.206	PV-002719443127 30.206
PV-002719443128	32.377	PV-002719443128 32.377
PV-002719972176	30.589	PV-002719972176 30.589
PV-002720167801	28.937	PV-002720167801 28.937
PV-002720549531	29.607	PV-002720549531 29.607
PV-002720559047	29.876	PV-002720559047 29.876
PV-002720559048	28.086	PV-002720559048 28.086
PV-002721064887	27.943	PV-002721064887 27.943
PV-002721064888	28.88	PV-002721064888 28.880
PV-002721562514	29.535	PV-002721562514 29.535
PV-002721888632	26.613	PV-002721888632 26.613
PV-002722164716	29.477	PV-002722164716 29.477
PV-002722580160	29.284	PV-002722580160 29.284
PV-002722666185	29.665	PV-002722666185 29.665
PV-002722666186	28.98	PV-002722666186 28.980
