ligand_id	barrier_energy	job_id	barrier_file	barrier_line
PV-006978065088	29.500300000002618	1	ligand_barriers_JOB_1.txt	"PV-006978065088	1	29.500300000002618"
PV-006978065089	29.98799999999553	1	ligand_barriers_JOB_1.txt	"PV-006978065089	1	29.98799999999553"
PV-006978491454	31.755500000000758	1	ligand_barriers_JOB_1.txt	"PV-006978491454	1	31.755500000000758"
PV-006979053646	31.9597000000054	1	ligand_barriers_JOB_1.txt	"PV-006979053646	1	31.9597000000054"
PV-006979075160	26.53170000000577	1	ligand_barriers_JOB_1.txt	"PV-006979075160	1	26.53170000000577"
PV-006980097599	26.18470000000204	1	ligand_barriers_JOB_1.txt	"PV-006980097599	1	26.18470000000204"
PV-006980492795	28.769999999998507	1	ligand_barriers_JOB_1.txt	"PV-006980492795	1	28.769999999998507"
PV-006980505910	28.49540000000259	1	ligand_barriers_JOB_1.txt	"PV-006980505910	1	28.49540000000259"
PV-006981032762	29.062399999999073	1	ligand_barriers_JOB_1.txt	"PV-006981032762	1	29.062399999999073"
PV-006981273760	30.535100000004086	1	ligand_barriers_JOB_1.txt	"PV-006981273760	1	30.535100000004086"
PV-006981466208	27.66809999999982	1	ligand_barriers_JOB_1.txt	"PV-006981466208	1	27.66809999999982"
PV-006981489415	27.65379999999329	1	ligand_barriers_JOB_1.txt	"PV-006981489415	1	27.65379999999329"
PV-007127336590	26.161500000000004	10	ligand_barriers_JOB_10.txt	"PV-007127336590	1	26.161500000000004"
PV-007127425498	30.943499999997574	10	ligand_barriers_JOB_10.txt	"PV-007127425498	1	30.943499999997574"
PV-007127498031	30.48409999998939	10	ligand_barriers_JOB_10.txt	"PV-007127498031	1	30.48409999998939"
PV-007127593098	31.349099999996657	10	ligand_barriers_JOB_10.txt	"PV-007127593098	1	31.349099999996657"
PV-007128559650	27.09890000000745	10	ligand_barriers_JOB_10.txt	"PV-007128559650	1	27.09890000000745"
PV-007128752453	29.84079999999608	10	ligand_barriers_JOB_10.txt	"PV-007128752453	1	29.84079999999608"
PV-007128817325	26.632400000007447	10	ligand_barriers_JOB_10.txt	"PV-007128817325	1	26.632400000007447"
PV-007128831894	30.106699999996277	10	ligand_barriers_JOB_10.txt	"PV-007128831894	1	30.106699999996277"
PV-007129003185	26.208600000002598	10	ligand_barriers_JOB_10.txt	"PV-007129003185	1	26.208600000002598"
PV-007129066539	30.662999999988628	10	ligand_barriers_JOB_10.txt	"PV-007129066539	1	30.662999999988628"
PV-007129504012	28.890699999997395	10	ligand_barriers_JOB_10.txt	"PV-007129504012	1	28.890699999997395"
PV-007129735022	27.1807000000015	10	ligand_barriers_JOB_10.txt	"PV-007129735022	1	27.1807000000015"
